;score;puissance_homeTeam;puissance_awayTeam;win_cons_home;win_cons_away;lose_cons_home;lose_cons_away;score
0;2;2409;6154;-1;-1;-1;-1;2
1;2;4008;3054;-1;-1;-1;-1;2
2;2;3029;100;-1;-1;-1;-1;2
3;1;2803;2045;-1;-1;-1;-1;1
4;0;2156;1065;-1;-1;-1;-1;0
5;1;2690;2298;-1;-1;-1;-1;1
6;2;100;3749;-1;-1;-1;-1;2
7;1;4207;3029;-1;-1;-1;-1;1
8;0;3627;1736;-1;-1;-1;-1;0
9;1;9495;2020;-1;-1;-1;-1;1
10;1;6154;2690;1;1;0;0;1
11;0;3029;4008;0;0;1;1;0
12;0;2298;3029;0;0;1;1;0
13;1;1065;100;0;0;0;1;1
14;2;2020;2803;0;1;1;0;2
15;1;1736;2409;0;0;0;1;1
16;1;2045;4207;0;1;1;0;1
17;0;3749;2156;1;0;0;0;0
18;0;3054;3627;1;0;0;0;0
19;1;100;9495;1;1;0;0;1
20;1;2156;3054;0;0;0;0;1
21;1;2690;1736;0;1;1;0;1
22;2;100;2298;0;0;2;0;2
23;2;2045;3029;1;0;0;0;2
24;0;2409;2020;0;0;2;2;0
25;2;3627;100;0;2;0;0;2
26;1;9495;1065;0;1;1;0;1
27;1;3029;6154;0;2;0;0;1
28;1;4207;3749;0;0;1;0;1
29;2;2803;4008;2;0;0;0;2
30;2;1736;9495;0;1;1;0;2
31;0;6154;2298;0;1;1;0;0
32;1;1065;2045;0;0;1;1;1
33;1;2690;100;1;0;0;3;1
34;1;3029;3029;1;1;0;0;1
35;1;2020;2156;0;1;0;0;1
36;2;100;2803;3;0;0;1;2
37;1;3054;4207;0;1;1;0;1
38;0;3627;2409;0;0;1;0;0
39;1;4008;3749;1;0;0;1;1
40;1;4207;2690;0;2;1;0;1
41;0;2045;6154;0;0;2;0;0
42;1;9495;3627;2;0;0;0;1
43;1;3029;2803;0;1;1;0;1
44;1;2298;1736;0;0;0;2;1
45;0;2156;100;0;0;1;1;0
46;0;100;2020;0;1;4;0;0
47;1;3029;3054;2;1;0;0;1
48;0;3749;1065;0;1;2;0;0
49;2;2409;4008;0;2;0;0;2
50;1;3627;3029;0;3;1;0;1
51;0;4008;3029;3;1;0;0;0
52;0;2298;2156;1;0;0;0;0
53;1;2803;100;0;0;1;0;1
54;0;3054;2409;0;0;1;1;0
55;1;2020;1065;0;0;0;0;1
56;2;1736;2045;0;0;3;0;2
57;0;100;4207;0;0;0;1;0
58;1;2690;3749;0;0;1;0;1
59;2;6154;9495;0;4;0;0;2
60;0;100;4008;0;0;1;0;0
61;1;2409;2803;0;1;0;0;1
62;1;3029;2020;0;1;0;0;1
63;1;4207;3627;0;1;0;0;1
64;2;3749;1736;0;0;1;4;2
65;2;1065;2690;0;1;1;0;2
66;0;2156;6154;0;0;0;1;0
67;1;3029;100;0;0;1;0;1
68;2;2045;2298;1;0;0;0;2
69;2;9495;3054;5;0;0;0;2
70;2;6154;3029;0;1;0;0;2
71;2;2298;9495;1;0;0;1;2
72;0;2803;4207;0;1;1;0;0
73;2;3054;100;1;0;0;0;2
74;0;2690;2045;2;0;0;1;0
75;1;2409;2156;1;0;0;0;1
76;0;1736;1065;1;0;0;2;0
77;1;3627;3029;0;1;1;0;1
78;2;2020;3749;0;0;1;2;2
79;0;4008;100;0;0;0;1;0
80;1;2045;4008;0;0;0;0;1
81;1;9495;2690;2;0;0;0;1
82;1;3029;2409;0;2;1;0;1
83;2;1065;2298;0;0;0;1;2
84;1;2156;1736;0;0;1;0;1
85;1;3029;2803;2;0;0;0;1
86;1;100;3627;1;1;0;0;1
87;0;4207;2020;0;0;1;2;0
88;2;100;3054;0;0;0;1;2
89;1;3749;6154;1;1;0;0;1
90;2;2803;9495;0;3;1;0;2
91;0;6154;100;0;2;1;0;0
92;1;1065;4207;0;0;1;0;1
93;1;3054;3029;1;1;0;0;1
94;2;2690;2156;0;1;1;0;2
95;0;2020;2045;0;1;0;0;0
96;1;1736;3029;0;3;1;0;1
97;2;2298;3749;1;2;0;0;2
98;1;2409;100;0;0;1;1;1
99;1;4008;3627;0;0;1;1;1
100;2;3029;2409;0;1;1;0;2
101;1;4207;2298;0;0;0;1;1
102;0;3029;2690;0;0;1;2;0
103;1;6154;1736;0;1;1;0;1
104;1;2156;100;2;0;0;0;1
105;0;3054;2020;2;0;0;0;0
106;1;3627;2803;0;0;2;2;1
107;1;100;1065;0;1;2;0;1
108;0;3749;2045;3;0;0;0;0
109;1;9495;4008;5;1;0;0;1
110;1;100;9495;0;6;1;0;1
111;1;4008;4207;0;1;1;0;1
112;1;2690;3627;0;1;0;0;1
113;0;1736;3029;0;0;1;0;0
114;1;2045;2156;0;3;0;0;1
115;2;1065;6154;0;1;1;0;2
116;1;2298;3029;0;0;2;2;1
117;1;2803;3054;0;0;3;0;1
118;1;3749;2409;0;2;0;0;1
119;0;2803;2298;1;1;0;0;0
120;2;2156;9495;0;1;1;0;2
121;0;4207;1736;0;0;2;0;0
122;0;3054;2690;0;1;1;0;0
123;1;2409;100;0;1;1;0;1
124;1;3627;2020;0;0;1;0;1
125;1;100;2045;1;1;0;0;1
126;1;3029;1065;0;0;0;2;1
127;2;3029;3749;0;1;3;0;2
128;1;4008;6154;1;3;0;0;1
129;1;9495;4207;2;0;0;0;1
130;1;6154;2803;0;0;1;0;1
131;0;2156;3029;0;0;2;4;0
132;1;2690;2020;0;0;0;1;1
133;1;100;100;0;2;1;0;1
134;0;1736;3054;0;0;0;0;0
135;2;2045;3627;0;1;1;0;2
136;1;2298;2409;0;1;0;0;1
137;0;3749;3029;2;1;0;0;0
138;2;1065;4008;0;2;3;0;2
139;1;4008;2156;3;0;0;0;1
140;2;3627;6154;2;0;0;1;2
141;1;3029;2045;0;0;0;2;1
142;1;4207;100;0;1;2;0;1
143;1;2803;2690;0;1;1;0;1
144;0;3054;2298;0;1;0;0;0
145;0;2020;1736;0;0;2;0;0
146;1;3029;1065;0;0;0;4;1
147;1;100;3749;0;0;1;0;1
148;1;2298;2020;0;0;0;0;1
149;1;2156;3627;0;0;1;1;1
150;2;2690;4008;0;4;1;0;2
151;2;6154;4207;1;1;0;0;2
152;1;3749;2803;0;1;1;0;1
153;2;1065;2409;0;0;5;1;2
154;0;100;3029;0;1;1;0;0
155;2;1736;100;0;1;0;0;2
156;1;9495;3029;0;1;0;0;1
157;1;4207;2156;2;1;0;0;1
158;2;2020;6154;0;0;1;1;2
159;2;3029;9495;0;1;0;0;2
160;1;100;2690;2;0;0;2;1
161;1;2803;1736;0;0;1;1;1
162;1;2409;2045;1;0;0;3;1
163;1;3627;1065;0;0;2;6;1
164;1;3054;3749;0;1;0;0;1
165;1;3029;100;0;0;1;0;1
166;1;4008;2298;5;1;0;0;1
167;1;4207;3029;0;0;1;1;1
168;0;1736;4008;0;6;2;0;0
169;2;1065;3054;0;1;7;0;2
170;0;2156;2803;0;1;1;0;0
171;0;2690;2409;0;2;3;0;0
172;2;2020;3029;0;1;2;0;2
173;0;2045;100;0;0;4;1;0
174;2;2298;3627;0;1;1;0;2
175;2;6154;100;0;3;0;0;2
176;2;3749;9495;0;3;1;0;2
177;1;3029;2156;0;0;2;0;1
178;1;9495;2045;4;0;0;0;1
179;1;100;2298;4;0;0;2;1
180;1;4008;2020;0;0;0;3;1
181;1;2803;1065;0;0;0;8;1
182;0;3054;6154;2;0;0;1;0
183;2;3029;2690;2;0;0;0;2
184;1;2409;4207;0;1;0;0;1
185;0;100;1736;0;0;0;0;0
186;1;3627;3749;2;0;0;2;1
187;2;100;4008;5;1;0;0;2
188;2;2298;6154;0;0;3;0;2
189;2;1065;2156;0;0;9;1;2
190;0;2690;2803;1;1;0;0;0
191;1;2020;3054;0;0;4;0;1
192;1;1736;3627;0;3;0;0;1
193;2;2045;3029;0;1;1;0;2
194;2;3749;3029;0;0;3;1;2
195;1;100;4207;0;0;0;1;1
196;0;9495;2409;5;1;0;0;0
197;2;2020;100;1;0;0;1;2
198;0;2045;3054;0;0;2;1;0
199;2;2409;9495;0;0;0;0;2
200;0;2803;100;0;1;0;0;0
201;0;4008;2690;2;0;0;0;0
