Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,LBH,LBD,LBA,PSH,PSD,PSA,WHH,WHD,WHA,VCH,VCD,VCA,Bb1X2,BbMxH,BbAvH,BbMxD,BbAvD,BbMxA,BbAvA,BbOU,BbMx>2.5,BbAv>2.5,BbMx<2.5,BbAv<2.5,BbAH,BbAHh,BbMxAHH,BbAvAHH,BbMxAHA,BbAvAHA,PSCH,PSCD,PSCA
F1,12/08/16,Bastia,Paris SG,0,1,A,0.0,0.0,D,10.0,9.0,0.0,6.0,15.0,16.0,2.0,6.0,3.0,3.0,0.0,0.0,13.0,4.75,1.29,11.0,5.0,1.33,7.5,4.3,1.4,10.0,5.0,1.3,11.39,5.14,1.36,10.0,4.75,1.33,11.0,5.0,1.33,53,13.0,10.57,5.35,4.93,1.4,1.32,43,1.9,1.83,2.04,1.95,32,1.5,1.93,1.86,2.03,1.97,12.13,5.29,1.34
F1,12/08/16,Monaco,Guingamp,2,2,D,0.0,2.0,A,18.0,9.0,4.0,5.0,14.0,15.0,8.0,2.0,3.0,4.0,0.0,0.0,1.62,3.8,5.25,1.65,3.75,5.5,1.7,3.4,5.0,1.65,3.6,5.75,1.68,3.81,6.11,1.67,3.6,5.5,1.67,3.75,5.75,53,1.73,1.66,3.85,3.7,6.22,5.44,44,2.13,2.04,1.81,1.75,31,-1.0,2.28,2.2,1.75,1.69,1.71,3.75,5.87
F1,13/08/16,Bordeaux,St Etienne,3,2,H,1.0,0.0,H,10.0,14.0,6.0,5.0,9.0,20.0,3.0,6.0,1.0,2.0,0.0,0.0,2.5,3.1,3.1,2.4,3.0,3.1,2.4,3.15,2.9,2.4,2.9,3.2,2.52,3.06,3.29,2.5,3.0,3.1,2.45,3.1,3.2,52,2.54,2.43,3.2,3.06,3.29,3.13,37,2.56,2.42,1.56,1.53,27,-0.25,2.12,2.07,1.83,1.79,2.39,3.04,3.66
F1,13/08/16,Caen,Lorient,3,2,H,2.0,2.0,D,15.0,8.0,6.0,2.0,13.0,9.0,10.0,2.0,1.0,2.0,0.0,1.0,2.2,3.25,3.5,2.1,3.2,3.5,2.1,3.15,3.45,2.1,3.25,3.5,2.19,3.38,3.66,2.2,3.1,3.5,2.15,3.4,3.6,53,2.2,2.15,3.4,3.27,3.78,3.5,43,2.25,2.09,1.81,1.72,29,-0.25,1.87,1.83,2.1,2.02,2.39,3.19,3.47
F1,13/08/16,Dijon,Nantes,0,1,A,0.0,0.0,D,6.0,10.0,2.0,3.0,6.0,11.0,3.0,4.0,0.0,2.0,0.0,0.0,2.5,3.1,3.1,2.45,3.0,3.0,2.6,3.1,2.7,2.4,3.0,3.1,2.56,3.09,3.21,2.62,2.9,3.0,2.5,3.0,3.3,53,2.62,2.45,3.1,3.0,3.3,3.17,38,2.67,2.61,1.55,1.46,28,-0.25,2.14,2.07,1.84,1.78,2.57,3.04,3.31
F1,13/08/16,Metz,Lille,3,2,H,0.0,1.0,A,7.0,13.0,3.0,4.0,13.0,9.0,4.0,5.0,2.0,2.0,0.0,0.0,3.4,3.2,2.2,3.3,3.0,2.3,3.3,3.1,2.2,3.4,3.0,2.3,3.65,3.07,2.35,3.4,3.0,2.3,3.6,3.1,2.3,53,3.65,3.44,3.2,3.06,2.35,2.27,38,2.85,2.56,1.55,1.48,29,0.25,1.95,1.91,1.98,1.93,3.75,3.14,2.3
F1,13/08/16,Montpellier,Angers,1,0,H,1.0,0.0,H,14.0,12.0,3.0,2.0,9.0,12.0,7.0,2.0,1.0,2.0,0.0,0.0,2.1,3.1,4.0,2.05,3.1,3.9,2.0,3.2,3.75,2.05,3.0,4.0,2.09,3.17,4.32,2.1,3.0,4.0,2.1,3.1,4.1,53,2.13,2.07,3.2,3.1,4.32,3.97,38,2.77,2.6,1.55,1.47,27,-0.5,2.12,2.06,1.84,1.78,1.9,3.28,5.26
F1,14/08/16,Marseille,Toulouse,0,0,D,0.0,0.0,D,10.0,6.0,2.0,2.0,14.0,12.0,9.0,6.0,3.0,1.0,0.0,0.0,2.0,3.3,4.0,2.0,3.25,3.8,2.1,3.15,3.45,2.0,3.2,4.0,2.03,3.37,4.22,2.0,3.2,4.0,2.0,3.4,4.1,53,2.1,2.0,3.41,3.31,4.22,3.92,42,2.25,2.15,1.75,1.69,28,-0.5,2.05,1.99,1.9,1.84,2.1,3.3,4.16
F1,14/08/16,Nancy,Lyon,0,3,A,0.0,2.0,A,11.0,9.0,1.0,7.0,18.0,14.0,4.0,4.0,4.0,2.0,0.0,0.0,3.5,3.3,2.15,3.3,3.2,2.2,3.45,3.15,2.1,3.5,3.3,2.1,3.66,3.44,2.17,3.5,3.2,2.15,3.6,3.3,2.15,53,3.66,3.45,3.44,3.29,2.22,2.15,42,2.2,2.11,1.77,1.7,28,0.25,2.04,1.99,1.9,1.86,2.98,3.29,2.63
F1,14/08/16,Nice,Rennes,1,0,H,0.0,0.0,D,7.0,19.0,1.0,4.0,12.0,9.0,4.0,8.0,0.0,1.0,0.0,0.0,2.38,3.1,3.25,2.45,3.0,3.0,2.3,3.1,3.1,2.4,3.0,3.1,2.51,3.18,3.2,2.4,3.0,3.2,2.45,3.13,3.2,53,2.51,2.38,3.21,3.11,3.3,3.15,36,2.45,2.34,1.64,1.57,28,-0.25,2.12,2.05,1.85,1.81,2.45,3.15,3.39
