;Equipe;Points
0;RealMadrid;17696
1;Barcelona;15529
2;AtléticoMadrid;13383
3;Grêmio;13274
4;ManchesterUnited;12159
5;Juventus;11817
6;BayernMünchen;11753
7;RiverPlate;11306
8;Flamengo;10234
9;ManchesterCity;9876
10;Independiente;9649
11;SanLorenzo;9401
12;TottenhamHotspur;9393
13;Roma;9383
14;Napoli;9380
15;Sevilla;9282
16;Botafogo;9146
17;PSG;9144
18;Santos;9074
19;Chelsea;8581
20;AthleticClub;8571
21;CeltadeVigo;8442
22;Monaco;8320
23;ShakhtarDonetsk;8248
24;TigresUANL;8086
25;Villarreal;8065
26;Liverpool;7756
27;BocaJuniors;7731
28;OlympiqueLyonnais;7682
29;BorussiaDortmund;7673
30;AtléticoPR;7658
31;Lazio;7649
32;Arsenal;7623
33;Lanús;7572
34;AlHilal;7566
35;RacingClub;7274
36;Palmeiras;7245
37;AtléticoTucumán;7150
38;Corinthians;7006
39;RealSociedad;6982
40;DynamoKyiv;6931
41;Estudiantes;6839
42;Schalke04;6781
43;CSKAMoskva;6776
44;GodoyCruz;6711
45;Valencia;6664
46;ShanghaiSIPG;6516
47;AtléticoMineiro;6513
48;Cruzeiro;6512
49;Atalanta;6493
50;AlAhly;6420
51;BorussiaM'gladbach;6418
52;DefensayJusticia;6417
53;RosarioCentral;6361
54;DeportivoAlavés;6272
55;Chapecoense;6258
56;Libertad;6160
57;Eibar;6125
58;Pachuca;6122
59;Colón;6112
60;Zenit;6109
61;Milan;5957
62;SportingCP;5923
63;Beşiktaş;5873
64;Benfica;5815
65;LokomotivMoskva;5814
66;Monterrey;5676
67;AlAhli;5578
68;Hoffenheim;5545
69;Ulsan;5545
70;JejuUnited;5464
71;RBLeipzig;5420
72;Basel;5352
73;Internazionale;5321
74;AtléticoNacional;5295
75;Espanyol;5292
76;Porto;5283
77;Everton;5276
78;Junior;5245
79;TalleresCórdoba;5238
80;Banfield;5237
81;SpartakMoskva;5178
82;Ajax;5140
83;Fiorentina;5108
84;OlympiqueMarseille;5086
85;Salzburg;5050
86;SportRecife;5002
87;CrvenaZvezda;5002
88;SuwonBluewings;4998
89;UrawaReds;4957
90;Anderlecht;4942
91;GimnasiaLaPlata;4920
92;Fluminense;4901
93;SanMartínSanJuan;4865
94;VélezSarsfield;4864
95;Huracán;4815
96;VascodaGama;4785
97;Toluca;4718
98;APOEL;4696
99;LeicesterCity;4667
100;İstanbulBaşakşehir;4662
101;EintrachtFrankfurt;4607
102;BayerLeverkusen;4602
103;Krasnodar;4597
104;SportingBraga;4575
105;SãoPaulo;4550
106;ViktoriaPlzeň;4536
107;Barcelona;4498
108;FCSB;4483
109;Wolfsburg;4441
110;Nice;4420
111;JeonbukMotors;4392
112;Ludogorets;4378
113;København;4371
114;Belgrano;4366
115;Temperley;4365
116;Morelia;4350
117;Guaraní;4331
118;PontePreta;4298
119;Bahia;4263
120;GuangzhouEvergrande;4242
121;Newell'sOldBoys;4241
122;OlympiakosPiraeus;4214
123;Celtic;4194
124;HerthaBSC;4193
125;Olimpo;4179
126;ÖstersundsFK;4129
127;América;4128
128;Seoul;4128
129;RealBetis;4116
130;MaccabiTelAviv;4076
131;VitóriaGuimarães;4075
132;Tijuana;4054
133;WerderBremen;4025
134;Nacional;4008
135;Apollon;4007
136;UniónSantaFe;3992
137;Guadalajara;3983
138;Atlas;3981
139;Persepolis;3954
140;Partizan;3923
141;Leganés;3920
142;SlaviaPraha;3881
143;Medellín;3868
144;KawasakiFrontale;3855
145;Freiburg;3788
146;AEKAthens;3780
147;Burnley;3760
148;Patronato;3743
149;DeportivoLaCoruña;3724
150;Gent;3702
151;HamburgerSV;3694
152;CruzAzul;3688
153;HapoelBe'erSheva;3676
154;Rostov;3672
155;Zorya;3666
156;Vitória;3654
157;Coritiba;3654
158;Augsburg;3652
159;SantaFe;3619
160;ClubBrugge;3616
161;KashimaAntlers;3597
162;Torino;3575
163;PAOK;3570
164;Peñarol;3551
165;Genk;3545
166;León;3539
167;Málaga;3528
168;Fenerbahçe;3480
169;Sampdoria;3475
170;SantosLaguna;3469
171;YoungBoys;3431
172;CerroPorteño;3421
173;Avaí;3393
174;NacionalAsunción;3357
175;Marítimo;3324
176;Necaxa;3319
177;Bordeaux;3286
178;LasPalmas;3283
179;JiangsuSuning;3268
180;Sassuolo;3259
181;Olimpia;3241
182;Vorskla;3228
183;Esteghlal;3214
184;Köln;3209
185;Mainz05;3195
186;Zamalek;3179
187;AtléticoGO;3176
188;AngersSCO;3175
189;Nantes;3158
190;Feyenoord;3153
191;Astra;3143
192;PSV;3112
193;Millonarios;3084
194;Wilstermann;3077
195;CrystalPalace;3070
196;Arsenal;3042
197;Rosenborg;3041
198;Bologna;3010
199;Utrecht;3002
200;LegiaWarszawa;3000
201;PohangSteelers;2989
202;SwanseaCity;2973
203;Midtjylland;2969
204;Ufa;2963
205;AlFateh;2951
206;Udinese;2945
207;Vitesse;2928
208;AEKLarnaca;2918
209;Ural;2905
210;Lugano;2900
211;RioAve;2893
212;Zulte-Waregem;2889
213;Daegu;2867
214;Southampton;2859
215;DeportivoCali;2841
216;StokeCity;2837
217;AlNassr;2828
218;Guingamp;2798
219;AlFaisaly;2762
220;AkhmatGrozny;2753
221;Gangwon;2745
222;Cagliari;2728
223;AEL;2718
224;Galatasaray;2710
225;AZ;2697
226;WydadCasablanca;2688
227;Aberdeen;2688
228;DefensorSporting;2686
229;Crotone;2656
230;SportingCharleroi;2652
231;GuangzhouR&F;2641
232;WestHamUnited;2631
233;Watford;2629
234;Tigre;2620
235;AlMasry;2610
236;Chievo;2608
237;CFRCluj;2606
238;TianjinQuanjian;2597
239;Feirense;2588
240;AFCBournemouth;2583
241;Querétaro;2582
242;SlovanBratislava;2579
243;Veracruz;2579
244;AlTaawon;2563
245;Panathinaikos;2563
246;Rennes;2562
247;Trabzonspor;2552
248;WestBromwichAlbion;2550
249;Konyaspor;2545
250;RubinKazan';2544
251;AméricadeCali;2523
252;LechPoznań;2514
253;OlimpikDonetsk;2506
254;AtléticoRafaela;2495
255;PumasUNAM;2466
256;Boavista;2456
257;ArsenalTula;2453
258;Lille;2452
259;Kayserispor;2450
260;Viitorul;2431
261;HebeiCFFC;2403
262;AlIttihad;2403
263;Karpaty;2397
264;SoldeAmérica;2397
265;Montpellier;2396
266;CSUCraiova;2394
267;Anorthosis;2387
268;CSMIaşi;2377
269;Smouha;2368
270;Puebla;2361
271;Chaves;2350
272;SangjuSangmu;2349
273;BotevPlovdiv;2345
274;StalKamianske;2345
275;Voluntari;2342
276;Žilina;2340
277;Brøndby;2338
278;MisrLelMakasa;2337
279;AustriaWien;2331
